borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
3,Clinton Hill,340 CLINTON AVENUE,7,0,7,2070,6000,1905,2850000,10/19/2016 0:00
1,Harlem,62 EAST 127 STREET,3,0,3,1873,3046,1909,2505000,3/27/2017 0:00
3,Boerum Hill,425 PACIFIC STREET,1,0,1,1980,3520,1899,2850000,4/6/2017 0:00
3,Clinton Hill,582 WASHINGTON AVENUE,3,0,3,1935,3860,1899,2850000,6/30/2017 0:00
3,Carroll Gardens,46 2 PLACE,3,0,3,1280,3072,1901,2850000,6/9/2017 0:00
3,Crown Heights,195 SULLIVAN PLACE,2,0,2,7515,0,1925,2870000,12/15/2016 0:00
2,Highbridge,978 SUMMIT AVENUE,0,1,1,14250,13200,1931,2875000,8/24/2017 0:00
3,Prospect Heights,497 DEAN STREET,8,0,8,2906,7152,1930,2875000,8/3/2017 0:00
3,Carroll Gardens,87 LUQUER STREET,0,3,3,2774,5610,1931,2875000,7/6/2017 0:00
3,Greenpoint,174 FRANKLIN STREET,2,1,3,1426,3720,1931,2875000,8/15/2017 0:00
2,Soundview,1541 WESTCHESTER AVENUE,14,2,16,4036,18015,1913,2884700,7/18/2017 0:00
1,Harlem,130 W 127 ST,2,0,2,1557,2343,1910,2525000,10/25/2016 0:00
